"symbol","ensembl_ID","User_ID","WITHEXPOSURE-REFERENCE_log2FC","WITHEXPOSURE-REFERENCE_adjPval","WITHEXPOSURE-WITHOUTEXPOSURE_log2FC","WITHEXPOSURE-WITHOUTEXPOSURE_adjPval","WITHOUTEXPOSURE-REFERENCE_log2FC","WITHOUTEXPOSURE-REFERENCE_adjPval","Processed data:","Ref_R1_SRR23919708","Ref_R2_SRR23919707","Ref_R3_SRR23919704","Ref_R4_SRR23919703","WE_R1_SRR23919698","WE_R2_SRR23919697","WE_R3_SRR23919706","WE_R4_SRR23919705","WOE_R1_SRR23919702","WOE_R2_SRR23919701","WOE_R3_SRR23919700","WOE_R4_SRR23919699"
"SMAR014889-PA","SMAR014889-PA","SMAR014889-PA",-0.766184842348549,7.79863499135134e-17,-0.0194299503054878,0.932905249430187,-0.746754892043061,4.8612802639535e-16,"",14.8855362342681,15.0613469309239,14.9921109563378,14.9581316588233,14.2559039776262,14.4717304784735,14.4327085663419,14.4746798167802,14.2627870541705,14.4280567531307,14.463044908251,14.5339555588556
"T1KWZ0","T1KWZ0","T1KWZ0",-0.834721656609229,6.70494993634335e-42,-0.143281101631307,0.132549421025588,-0.691440554977922,5.39473081543491e-29,"",14.8755035742205,14.8672378069426,14.9501304144615,14.9895549272655,14.3650455919163,14.305982832353,14.2184714866396,14.3164234836086,14.4631400292556,14.3883417600081,14.4336365129307,14.3397935951879
"T1K1B2","T1K1B2","T1K1B2",0.304110724649385,0.0220045780357523,-0.98425951112941,1.76551264891675e-14,1.2883702357788,2.74497210873006e-27,"",12.9570592859295,13.1944192866095,13.1869271474819,13.2866204713881,13.1721482117967,13.4422108619297,13.4665502791785,13.4198735252955,13.9135337772334,14.2339058980402,14.2273825259966,14.0435688630588
"  TETUR09G03620","TETUR09G03620","TETUR09G03620",-0.0917073108845272,0.442564795626896,-0.0845828943289622,0.651820879235683,-0.00712441655556499,0.9591432720861,"",15.8273950303903,15.9874763964374,15.9291153894353,15.9063214037847,15.7200793791584,15.8833372995918,15.8671702086904,15.9043324559209,15.7029907169658,15.8621838102075,16.0537925038698,15.9853936076851
"  TETUR08G05010","TETUR08G05010","TETUR08G05010",2.49541615556022,6.76992637304335e-74,0.0853819936029679,0.773481800595971,2.41003416195725,5.88165609646027e-69,"",11.7381388724005,11.9812371838835,11.8462429789761,11.9428155165648,13.350211038716,13.6790412124281,13.6764821867628,13.8629388568052,13.3121458335422,13.7073455652873,13.5647109577399,13.7357358171472
"  TETUR12G01820","TETUR12G01820","TETUR12G01820",0.140268167274568,0.192064351740018,-0.221924751312053,0.105552428742605,0.362192918586621,0.000180418023725751,"",14.8795686026198,15.0194847224605,15.0187789296964,15.0224466407106,14.9219195157823,15.1676578197678,15.1175488340667,15.1364283980603,15.0984570339061,15.2189638918299,15.3355714203138,15.3462681423794
"  TETUR30G01430","TETUR30G01430","TETUR30G01430",0.554874452247206,1.2342378321855e-08,-3.55315343302301e-05,0.999995620213599,0.554909983781536,1.24557821853498e-08,"",14.3686541699059,14.4326879279006,14.5390240101811,14.4663175269788,14.6415700007515,14.9517572743161,14.9104550443055,14.9172860347165,14.7234866595788,14.9467540562061,14.89761049394,14.8673774537245
"  TETUR08G00220","TETUR08G00220","TETUR08G00220",-0.536329798285922,9.06010027438847e-10,-0.251577239329849,0.0360015777681956,-0.284752558956073,0.00208991948086138,"",15.2995828048413,15.1097885907401,15.3176793719643,15.2271858232986,14.9086750031863,14.9202726227391,14.8137353877563,14.7233947530209,15.0550071251381,14.9750627080696,15.1414800979871,14.9346252887344
"T1L0C4","T1L0C4","T1L0C4",0.106084022604239,0.739954801885371,1.4335650992344,6.7315452231159e-08,-1.32748107663016,5.14416704636875e-08,"",13.866643044205,14.0467625739571,13.96107413395,13.8128424796926,13.5839187085696,13.8315528919504,14.3509550988502,14.110819162415,12.7295491118143,12.9234099123113,12.8938276096556,13.2437675165487
"  TETUR26G00960","TETUR26G00960","TETUR26G00960",3.30386391374328,0,-0.0747260828194821,0.406214485377247,3.37858999656276,0,"",11.0562865128138,11.1145814102492,10.97213009813,10.9729173889942,13.3082707309104,13.3367099863439,13.3269474571349,13.3175253189236,13.3662680750903,13.4097961957436,13.3785229026955,13.3631626820614
"T1JX57","T1JX57","T1JX57",-0.118137652805597,0.457529984588488,0.0268302869801867,0.932926454466592,-0.144967939785784,0.351929620945814,"",15.3828806344072,15.4065008477291,15.4830390227796,15.4186501963681,15.2141969930983,15.4970715680482,15.3622936739756,15.2473602514822,15.0307734850846,15.1776767132709,15.5348853676248,15.4487927555788
"T1JZM2","T1JZM2","T1JZM2",2.01026577985517,0,0.141320200627385,0.0712310188012231,1.86894557922778,3.53164412952142e-270,"",12.2443182166254,12.1799631165214,12.2038799203155,12.2570227143073,13.572746681014,13.6724668674645,13.698685392333,13.7037909654092,13.6058351855192,13.5462184558407,13.5342479345074,13.5389719306833
"  TETUR08G05020","TETUR08G05020","TETUR08G05020",-0.422475419346626,0.000164598832868453,-0.158462041874112,0.383394509250666,-0.264013377472514,0.0254473574058435,"",15.0200322046859,15.1645913599114,15.2995559139905,15.3164717462793,14.6951790476037,14.8865140224139,14.9610458780339,15.0059198728474,14.8757946330505,15.022875734076,15.0914199115388,15.0384513466565
"  TETUR25G00650","TETUR25G00650","TETUR25G00650",0.42490596518654,0.0710811784847715,-0.587126763477668,0.0461962940557711,1.01203272866421,2.72100313342251e-06,"",12.950487771313,13.4491701846502,13.3270597834972,13.3575262989162,13.1911643504695,13.7610313332749,13.5826358723346,13.7531961015831,13.7813706375401,14.1792578768128,14.1340725195603,13.9862141574632
"  TETUR09G05350","TETUR09G05350","TETUR09G05350",0.315254427487847,0.000221715742052531,-0.0164483542963569,0.93624950572981,0.331702781784204,9.79241112816888e-05,"",14.8147899669107,15.0232763888509,14.8474362052954,14.8564237885468,15.0106678317293,15.1461333746606,15.1165349098488,15.2028617063518,15.0264979859825,15.1384325670197,15.1440802642331,15.2166035216357
"  TETUR14G03010","TETUR14G03010","TETUR14G03010",-0.040469198387998,0.614956871367978,-0.164991215099402,0.0662998416733307,0.124522016711404,0.0780280203495778,"",15.495088738233,15.5664792982992,15.5636634249304,15.5492081184584,15.3942213360049,15.4914649168673,15.5965344210463,15.5634867140629,15.6503224572473,15.5924077270636,15.6658816984451,15.6358907940288
"T1KUY5","T1KUY5","T1KUY5",0.348842051360273,5.01620337884768e-08,-0.0194865449124122,0.89774921789602,0.368328596272685,7.65184168902006e-09,"",14.6941933320285,14.7224088309277,14.7118519069514,14.7855888630337,15.0627704399408,14.9583358419051,14.9175413643974,15.0015006986718,15.0431521844675,14.923484205784,15.0698194562347,14.9606187018736
"  TETUR04G02070","TETUR04G02070","TETUR04G02070",0.0802242091300389,0.524379659228025,0.188093840072665,0.238408908308728,-0.107869630942626,0.377336751991632,"",15.5909456846551,15.7232412161504,15.620366117754,15.7443917217187,15.7544533253643,15.6881195199972,15.6915840446667,15.7877015450339,15.6617028899798,15.6474106969116,15.3201788267262,15.6990228416279
"  TETUR21G02180","TETUR21G02180","TETUR21G02180",-0.0818127929130431,0.441691858631602,0.0664574979231859,0.699685422878919,-0.148270290836229,0.132617665718042,"",15.8688304148571,15.9921116878309,15.8078240568984,15.9045302145964,15.8571448760367,15.7493302307805,15.7805823979389,15.9410802246168,15.8639722510118,15.8446796093916,15.6220855722866,15.7946954829398
"T1K876","T1K876","T1K876",-0.821207470415162,0.00326846030058914,1.46390155580422,6.34316381937928e-07,-2.28510902621938,1.14213030252612e-18,"",13.5453657677946,13.5637719871584,13.6002830119649,13.3542382195187,12.4889212278429,12.8741759926134,13.2061599381033,12.9335795658013,11.5136235597524,11.6478184221302,12.0235245465011,12.1706034682659
"T1KXC6","T1KXC6","T1KXC6",-1.19949937478394,7.91363857898624e-73,-0.187872962830428,0.0527644946175928,-1.01162641195351,4.14153826509182e-52,"",13.96948679805,14.0721491301084,14.0025349914629,14.0559351029526,13.168638825036,13.1043228460377,13.0648077071935,13.2207878370752,13.321649337075,13.3386458041625,13.2615306002412,13.1757211104894
"  TETUR11G04920","TETUR11G04920","TETUR11G04920",-0.663140650752158,2.41365036528364e-16,0.187296431395654,0.125964485051267,-0.850437082147812,2.19431306103261e-26,"",14.4278631406597,14.5004630056482,14.5373344093485,14.5149409136638,13.8594439498473,13.9434757848587,14.1146111502461,14.0773461528495,13.9080096194914,13.7699977340187,13.861547454515,13.9224543176016
"  TETUR09G06700","TETUR09G06700","TETUR09G06700",-0.646957800608291,1.04349765544935e-10,-0.815667771727093,1.146987773478e-14,0.168709971118801,0.139348357311561,"",14.0384155024879,13.8862261238354,14.1469122855583,14.0828949556453,13.4855057719433,13.5391254240224,13.5916664842701,13.6588700022111,14.3187119897659,14.2223923937854,14.108957199302,13.9975030595366
"  TETUR02G02190","TETUR02G02190","TETUR02G02190",3.30532883004665,4.14253307358761e-259,-0.345838164974842,0.00487303723399804,3.6511669950215,0,"",10.4471017560039,10.5370015179755,10.4774133782676,10.5045149944648,12.8545860568972,12.7511922861604,12.6117365038997,12.7247792650539,12.9246607079713,12.9053217299177,13.2148745691378,12.9344713142418
"  TETUR03G00830","TETUR03G00830","TETUR03G00830",5.82166890702685,0,0.155280514849144,0.354300151156432,5.6663883921777,0,"",9.19254996135479,9.13770408192697,9.06599312956335,9.15348374317853,12.6412975304698,12.7231490376011,12.9887645918956,12.7365225474901,12.748257298134,12.7098908537132,12.547539804292,12.6222355607559
"  TETUR12G02740","TETUR12G02740","TETUR12G02740",-0.647661703997629,1.25004567144865e-44,-0.0878849338060545,0.244770470985107,-0.559776770191574,1.48236025213604e-33,"",14.6789237139011,14.7860173345387,14.6945737921735,14.674331394407,14.2248291250826,14.2369929496697,14.2219583176156,14.2346887744474,14.2481020724541,14.3094101459573,14.3288412347482,14.2874401465806
"  TETUR06G05600","TETUR06G05600","TETUR06G05600",0.430168678809665,3.4055038076587e-09,0.26126860855634,0.00410832304045764,0.168900070253324,0.034103537810295,"",14.5837092467985,14.6494256016432,14.6336271929823,14.6966653230169,14.9819864562064,14.8436454532456,14.9322027601,15.0700865831842,14.791728206972,14.8132337360966,14.6705627831897,14.7823328681937
"  TETUR22G00130","TETUR22G00130","TETUR22G00130",-0.381326637269255,3.05942242964356e-11,-0.0161461619968412,0.907575867269683,-0.365180475272414,2.20069881859199e-10,"",15.3096114183057,15.431787803791,15.2569530640658,15.2830895501808,15.0724779287922,15.0365931292515,14.9964737776205,15.049763127058,15.0450428344039,15.0323086128919,15.0399761961689,15.0860938086161
"  TETUR08G02980","TETUR08G02980","TETUR08G02980",-0.4604134697791,1.51645918804976e-32,0.111286610346179,0.0456704438372027,-0.571700080125279,7.84027750524965e-50,"",14.9456567232425,14.9720354212578,14.9112868879447,14.9286132906289,14.6345403806798,14.5650269840044,14.575815798895,14.6132463450432,14.5387654858609,14.5064161731795,14.4985216538343,14.5196770604121
"  TETUR14G00730","TETUR14G00730","TETUR14G00730",-0.150488135726756,0.00923792751171353,0.0968810326430486,0.258912641070103,-0.247369168369805,7.47869827365132e-06,"",16.0390379504355,15.9828839899212,15.986549849335,15.9935952005467,15.8943567852281,15.8019598559159,15.9235382376233,15.9311334102933,15.8832339975963,15.7979457880414,15.7960545266498,15.7892759049871
"  TETUR09G00470","TETUR09G00470","TETUR09G00470",-0.319201297891321,1.20313037886028e-06,-0.10375420044561,0.329654561637377,-0.215447097445711,0.00158836568658905,"",15.3857889385494,15.3886666549422,15.4072159250457,15.4083282525789,15.0950485647104,15.091492468332,15.2349079379376,15.2143466192394,15.3312367493541,15.2312579627552,15.210801449163,15.1700702337896
"  TETUR23G01290","TETUR23G01290","TETUR23G01290",-0.0396772674184831,0.646764205449021,-0.0988124253240183,0.38339187585346,0.0591351579055353,0.478448042520842,"",15.3568519480327,15.3264884953757,15.3506790228182,15.3754239441148,15.2879805113063,15.2678996376692,15.3450859557425,15.3876264387198,15.5106150569508,15.4269349354664,15.3112504265506,15.3251499183706
"T1KV22","T1KV22","T1KV22",-1.9670355323981,4.62381732644856e-17,-0.46287355989115,0.212721603259791,-1.50416197250695,2.4228080252721e-10,"",12.9721499708996,13.3798587743718,13.2640356051577,13.2250235447504,11.5299890257358,11.8665729882763,11.9484902523985,11.7625678888639,11.6728991875032,12.1127032805403,12.0673718610321,12.4534810470472
"  TETUR06G04520","TETUR06G04520","TETUR06G04520",4.22145982317591,0,-0.05333448808135,0.810806202347908,4.27479431125726,0,"",9.78516046251208,9.80346990448551,9.87681203137157,9.89022288711589,12.3816301303614,12.6705145549127,12.7445893826175,12.7109271174479,12.5934327026961,12.7524640322884,12.5801111741067,12.7665829691366
"  TETUR06G06280","TETUR06G06280","TETUR06G06280",0.306722388750319,4.79829463050859e-06,-0.0556634444366318,0.66052782466876,0.362385833186951,4.51381643429475e-08,"",14.4238180901593,14.4836661132054,14.394808668873,14.3829099841077,14.7416436327359,14.6227430347548,14.5897163413116,14.6312108376197,14.6542977323098,14.6249385075077,14.7828900101724,14.6881689552619
"  TETUR10G01140","TETUR10G01140","TETUR10G01140",0.902085767384461,2.66525877234607e-100,0.145290765568367,0.0106986562433614,0.756795001816094,1.17084310182685e-70,"",13.3159844422751,13.3256947428276,13.2951687548519,13.2902697650514,13.9726854955407,13.9505873644232,13.9984835008661,13.9393187829335,13.7925931401643,13.8712186075474,13.8795100510202,13.8838930147756
"  TETUR26G01130","TETUR26G01130","TETUR26G01130",-0.403860003170068,1.67773485706622e-12,-0.206054130634133,0.00447846742055888,-0.197805872535935,0.00108262173158695,"",14.9995063952205,15.006069822374,15.0040331883642,14.9663803471842,14.7668373420543,14.6591945957296,14.6810490988193,14.6713911196307,14.802608716472,14.8416793193241,14.9429008160171,14.794991570868
"  TETUR38G00440","TETUR38G00440","TETUR38G00440",-0.137136531412663,0.0653521235977059,0.0800845317564019,0.501510451178062,-0.217221063169065,0.00221116422846755,"",15.7703667003435,15.8841220930212,15.6826267536071,15.7695049929337,15.7641513889472,15.642051252184,15.5990145567596,15.6958042048174,15.6065289683812,15.6062509664637,15.6239946958164,15.6337265136698
"EFX80496","EFX80496","EFX80496",0.537630035626589,1.59028694843308e-14,0.0227438842694922,0.891201381824789,0.514886151357097,2.139633283376e-13,"",13.947931421966,13.8094406226022,13.9170362245513,13.8913572032367,14.2908567321533,14.3295544258547,14.3183330739744,14.2056119953389,14.2346505230855,14.2114207609367,14.3928903730225,14.2323934068966
"XP_003502222","XP_003502222","XP_003502222",0.0861379967003601,0.454935682211982,-0.0832301161779895,0.643232594126597,0.16936811287835,0.110120101088846,"",14.6573337432296,14.729562522067,14.5971507971646,14.6163068701278,14.8597439762545,14.6646412469926,14.608129398841,14.7111381123658,14.7272585839149,14.6703151749656,14.9522365858981,14.7353412193885
"  TETUR18G01260","TETUR18G01260","TETUR18G01260",1.48231431426843,1.39414736451287e-29,-0.343146902345106,0.0753753407930135,1.82546121661354,1.4293448676933e-44,"",11.6772536632226,11.9139128289218,11.9259395213667,11.9401029807137,12.5789578170171,12.983511911774,13.0229139601847,13.0363795708171,12.9803084934035,13.2466879163327,13.2447805597068,13.2120403888886
"T1L4N7","T1L4N7","T1L4N7",4.13964217261625,0,-0.150175052818838,0.145282462280349,4.28981722543509,0,"",9.76550880334834,9.76728395545442,9.87262469708602,9.68366192447974,12.5836811835927,12.4705578310208,12.5145629976915,12.4294344343433,12.6314267377922,12.6501140036364,12.5630696853837,12.6166614255238
"  TETUR27G01310","TETUR27G01310","TETUR27G01310",-0.106006497052075,0.022781648742597,-0.118108816903468,0.0483531654460993,0.0121023198513934,0.836871758562879,"",15.5699552483458,15.5955710076955,15.5761033548543,15.5676084179375,15.501712677659,15.4498349483337,15.5049251053237,15.5372847631038,15.627893954563,15.6008087996933,15.5444009379292,15.5705423229195
